production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max
0.5,143.0,210,1.72,251.0,111.8,0.445,6.25531914893617,7,61.361702127659576,129.12765957446808,42.45744680851064,24.21276595744681,115,29.78723404255319,248,11.623404255319148,9.1,14.0,0.0893617021276595,0.0,0.5,90.04255319148936,84.7,96.4,1031.4702127659575,1030.3,1034.1,256.51063829787233,227,312,5.057446808510638,2.2,7.5
19.6,143.0,210,1.72,251.0,111.8,0.445,3.375,5,59.54166666666666,120.5625,4.5,49.16666666666666,279,82.0625,524,7.341666666666666,5.9,9.0,0.0416666666666666,0.0,0.2,75.13333333333334,67.1,84.0,1034.38125,1031.1,1037.7,317.4583333333333,294,339,6.254166666666666,2.1,7.6
1.1,143.0,210,1.72,251.0,111.8,0.445,-0.6666666666666666,2,59.91666666666666,121.64583333333331,22.2625,33.5,153,38.25,209,9.002083333333333,6.5,11.6,0.0520833333333333,0.0,0.3,89.13125000000001,80.6,95.2,1037.8145833333333,1037.1,1038.8,291.4791666666667,213,345,2.1750000000000003,1.1,3.6
5.9,143.0,210,1.72,251.0,111.8,0.445,1.0833333333333333,3,63.16666666666666,134.9375,56.91875,44.04166666666666,269,56.645833333333336,483,11.297916666666666,10.1,13.2,0.0291666666666666,0.0,0.1,89.77291666666667,80.6,97.6,1036.6208333333334,1035.2,1038.1,226.9375,2,359,2.6354166666666665,0.6,4.6
0.1,143.0,210,1.72,251.0,111.8,0.445,2.4791666666666665,4,60.85416666666666,126.20833333333331,82.425,13.375,87,12.9375,84,15.895833333333334,13.2,20.5,0.33125,0.0,0.8,93.13333333333333,89.3,98.4,1032.26875,1031.2,1035.2,259.8958333333333,236,287,5.229166666666667,3.7,6.2
0.4,143.0,210,1.72,251.0,111.8,0.445,3.75,4,62.75,131.70833333333334,74.6375,20.95833333333333,98,20.25,94,14.23125,13.2,15.4,0.2979166666666666,0.1,0.5,92.79375,91.2,93.8,1032.9166666666667,1031.5,1034.6,276.7291666666667,236,290,3.960416666666666,2.6,5.8
1.0,143.0,210,1.72,251.0,111.8,0.445,3.333333333333333,4,64.64583333333333,135.625,58.41458333333333,24.45833333333333,112,24.02083333333333,108,13.102083333333333,9.7,19.6,0.0625,0.0,0.3,89.50416666666666,82.2,93.8,1033.1041666666667,1028.4,1034.6,254.4375,213,300,3.2916666666666665,1.7,7.7
9.2,143.0,210,1.72,251.0,111.8,0.445,4.833333333333333,6,64.29166666666667,132.91666666666666,68.20416666666667,41.125,264,59.270833333333336,477,12.816666666666668,9.3,19.3,0.3208333333333333,0.1,0.7,85.91250000000001,78.6,93.4,1020.73125,1018.0,1027.8,251.7708333333333,214,285,8.545833333333333,6.8,9.7
5.5,143.0,210,1.72,251.0,111.8,0.445,2.708333333333333,4,64.20833333333333,129.8125,66.2,32.854166666666664,222,41.083333333333336,288,9.372916666666669,8.6,10.5,0.1583333333333333,0.0,0.6,82.60833333333333,72.5,90.2,1016.7104166666668,1015.1,1019.5,308.7708333333333,0,360,6.639583333333333,3.7,8.4
0.4,143.0,210,1.72,251.0,111.8,0.445,1.0208333333333333,2,64.33333333333333,128.35416666666666,45.29166666666666,17.1875,109,16.625,105,7.622916666666666,5.7,9.2,0.0354166666666666,0.0,0.1,84.44583333333334,75.3,89.9,1023.5604166666668,1019.7,1026.4,156.625,2,358,4.458333333333333,2.3,5.5
0.9,143.0,210,1.72,251.0,111.8,0.445,-0.0416666666666666,1,65.64583333333333,133.66666666666666,74.33333333333333,21.104166666666668,111,20.354166666666668,107,12.58125,7.1,15.6,0.1125,0.0,0.3,89.04791666666667,84.3,92.5,1026.2458333333332,1025.5,1026.9,252.04166666666663,220,358,3.670833333333333,0.9,5.8
0.8,143.0,210,1.72,251.0,111.8,0.445,2.895833333333333,4,67.08333333333333,136.58333333333334,83.39375,18.6875,103,18.0,99,15.00625,12.0,18.9,0.3666666666666667,0.0,1.6,90.77291666666667,85.8,94.2,1023.20625,1017.0,1026.8,222.5833333333333,211,230,7.0687500000000005,5.3,9.7
0.0,143.0,210,1.72,251.0,111.8,0.445,7.104166666666667,9,65.29166666666667,130.97916666666666,84.03125,14.1875,80,13.708333333333334,77,19.55,14.7,23.1,0.6208333333333333,0.2,1.2,91.18125,88.0,95.1,1011.6208333333334,1006.3,1016.8,243.54166666666663,223,280,8.939583333333333,6.4,11.2
6.5,143.0,210,1.72,251.0,111.8,0.445,5.4375,8,68.47916666666667,137.10416666666666,45.64166666666667,31.604166666666668,165,31.33333333333333,159,11.177083333333334,8.2,16.4,0.1333333333333333,0.0,0.8,83.84166666666667,78.7,90.2,1014.425,1006.6,1022.4,293.4166666666667,277,311,7.6125,4.8,9.6
3.9,143.0,210,1.72,251.0,111.8,0.445,3.4375,6,68.8125,136.64583333333334,25.495833333333334,35.5625,168,39.10416666666666,232,11.033333333333331,8.5,13.1,0.0,0.0,0.0,84.26041666666667,70.1,93.6,1022.6416666666668,1020.7,1023.8,232.2083333333333,218,283,4.789583333333334,3.7,5.5
20.2,143.0,210,1.72,251.0,111.8,0.445,3.6041666666666665,7,74.25,152.89583333333334,42.70208333333333,52.22916666666666,267,84.91666666666667,515,8.918750000000001,7.5,13.1,0.0,0.0,0.0,76.01666666666667,61.0,87.6,1014.1208333333334,1009.2,1020.5,204.4375,194,217,5.79375,3.5,8.6
14.6,143.0,210,1.72,251.0,111.8,0.445,5.8125,7,72.8125,145.9375,53.2375,43.770833333333336,272,64.29166666666667,474,12.270833333333334,6.4,17.1,0.1916666666666666,0.0,0.6,77.79791666666667,71.3,86.2,1009.4229166666668,1006.6,1015.5,236.7083333333333,206,284,8.577083333333333,6.3,10.0
11.5,143.0,210,1.72,251.0,111.8,0.445,0.9791666666666666,3,75.25,149.29166666666666,27.870833333333334,38.3125,264,49.145833333333336,459,6.5125,5.8,7.7,0.0125,0.0,0.1,80.99791666666667,65.2,91.8,1018.6958333333332,1015.8,1020.7,151.5,10,341,3.2875,0.7,6.1
41.3,143.0,210,1.72,251.0,111.8,0.445,-2.208333333333333,1,78.79166666666667,159.4375,9.464583333333334,78.79166666666667,356,159.4375,671,5.416666666666667,4.8,6.3,0.0,0.0,0.0,84.39375,69.2,94.7,1015.2895833333332,1012.9,1018.3,109.25,61,148,2.2729166666666667,1.2,3.3
1.4,143.0,210,1.72,251.0,111.8,0.445,-2.0625,0,74.39583333333333,144.0,60.87083333333334,28.89583333333333,154,27.875,148,9.802083333333334,6.3,11.0,0.0125,0.0,0.1,83.1125,76.0,88.5,1014.8645833333334,1012.6,1018.9,82.04166666666667,25,165,2.2041666666666666,1.1,3.8
21.3,143.0,210,1.72,251.0,111.8,0.445,-3.0,-1,80.08333333333333,158.5625,8.635416666666666,59.35416666666666,326,93.04166666666669,576,6.325,4.3,10.0,0.0,0.0,0.0,86.66041666666666,77.5,91.7,1020.1208333333334,1019.0,1021.7,32.916666666666664,13,187,2.7145833333333336,0.3,3.9
1.7,143.0,210,1.72,251.0,111.8,0.445,-1.8958333333333333,0,81.72916666666667,160.58333333333334,29.485416666666666,26.0625,114,27.77083333333333,155,5.1125,4.3,7.6,0.0,0.0,0.0,83.05416666666666,74.8,90.6,1009.90625,1001.7,1018.9,176.16666666666666,155,202,3.09375,1.8,4.1
2.7,143.0,210,1.72,251.0,111.8,0.445,-1.1041666666666667,0,78.875,151.20833333333334,46.99791666666667,40.16666666666666,196,38.79166666666666,189,8.883333333333333,7.9,9.4,0.0083333333333333,0.0,0.1,77.75416666666666,73.9,80.6,998.3270833333332,996.1,1002.5,79.97916666666667,5,155,3.5625,1.9,5.1
0.8,143.0,210,1.72,251.0,111.8,0.445,-2.083333333333333,-2,76.5625,137.89583333333334,51.74375,16.375,72,15.9375,70,6.529166666666666,5.5,8.3,0.0,0.0,0.0,76.14375,72.1,79.9,1009.5104166666666,1003.0,1015.1,270.4375,0,360,2.672916666666667,1.6,3.9
2.8,143.0,210,1.72,251.0,111.8,0.445,-1.1875,1,80.77083333333333,150.16666666666666,59.025,25.14583333333333,127,24.3125,122,8.731250000000001,5.4,16.6,0.0229166666666666,0.0,0.1,76.23541666666667,71.1,80.8,1016.8208333333332,1015.0,1018.0,212.91666666666663,189,262,4.327083333333333,2.6,7.8
2.8,143.0,210,1.72,251.0,111.8,0.445,2.8125,5,81.91666666666667,154.22916666666666,77.08958333333334,25.5,133,24.666666666666668,129,14.145833333333334,10.1,17.1,0.0604166666666666,0.0,0.3,83.91041666666666,75.4,87.3,1011.9729166666666,1002.9,1016.8,208.1875,192,214,7.847916666666666,7.1,9.3
4.0,143.0,210,1.72,251.0,111.8,0.445,6.041666666666667,8,85.29166666666667,161.85416666666666,74.38333333333334,30.416666666666668,228,31.166666666666668,274,12.88125,9.5,16.5,0.1999999999999999,0.0,0.7,79.55208333333333,70.5,85.9,994.3958333333334,989.9,1002.4,216.375,191,279,9.427083333333334,6.8,10.6
