date,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max,building_id
2019-01-01,1.0,143.0,210,1.72,243.0,111.8,0.46,6.25531914893617,7,61.340425531914896,129.08510638297872,42.36595744680851,24.21276595744681,115,29.80851063829787,248,11.629787234042556,9.1,14.0,0.0893617021276595,0.0,0.5,90.0723404255319,84.7,96.4,1031.7468085106382,1030.6,1034.3,256.6595744680851,227,312,5.053191489361702,2.2,7.5,6
2019-01-02,23.8,143.0,210,1.72,243.0,111.8,0.46,3.375,5,59.520833333333336,120.47916666666669,4.5,49.16666666666666,279,82.04166666666667,524,7.347916666666666,5.9,9.0,0.0416666666666666,0.0,0.2,75.1125,67.1,84.0,1034.6625,1031.4,1038.0,317.3958333333333,294,338,6.266666666666667,2.1,7.6,6
2019-01-03,1.6,143.0,210,1.72,243.0,111.8,0.46,-0.6458333333333334,2,59.91666666666666,121.60416666666669,22.2625,33.479166666666664,153,38.25,209,9.00625,6.5,11.6,0.0520833333333333,0.0,0.3,89.10416666666667,80.6,95.2,1038.1,1037.3,1039.1,291.5625,214,345,2.1708333333333334,1.1,3.6,6
2019-01-04,8.1,143.0,210,1.72,243.0,111.8,0.46,1.0833333333333333,3,63.145833333333336,134.9375,56.91666666666666,44.04166666666666,269,56.645833333333336,483,11.304166666666667,10.1,13.2,0.0291666666666666,0.0,0.1,89.74374999999999,80.6,97.6,1036.89375,1035.5,1038.4,226.8958333333333,2,359,2.6375,0.6,4.6,6
2019-01-05,0.2,143.0,210,1.72,243.0,111.8,0.46,2.4791666666666665,4,60.8125,126.14583333333331,82.42291666666667,13.354166666666666,87,12.9375,84,15.908333333333331,13.2,20.5,0.33125,0.0,0.8,93.08125,89.3,98.4,1032.5520833333333,1031.5,1035.4,259.9583333333333,237,286,5.247916666666667,3.7,6.3,6
2019-01-06,0.8,143.0,210,1.72,243.0,111.8,0.46,3.75,4,62.75,131.66666666666666,74.6375,20.95833333333333,98,20.25,94,14.241666666666667,13.2,15.4,0.2979166666666666,0.1,0.5,92.78958333333333,91.2,93.8,1033.1645833333334,1031.7,1034.8,276.6666666666667,236,290,3.966666666666667,2.6,5.8,6
2019-01-07,1.4,143.0,210,1.72,243.0,111.8,0.46,3.333333333333333,4,64.625,135.60416666666666,58.43125,24.45833333333333,112,23.979166666666668,108,13.110416666666666,9.7,19.6,0.0625,0.0,0.3,89.50416666666666,82.2,93.8,1033.35625,1028.6,1034.8,254.75,213,300,3.2895833333333333,1.7,7.7,6
2019-01-08,12.0,143.0,210,1.72,243.0,111.8,0.46,4.833333333333333,6,64.29166666666667,132.91666666666666,68.14583333333333,41.125,264,59.270833333333336,477,12.83125,9.3,19.3,0.3166666666666666,0.1,0.7,85.93958333333335,78.6,93.4,1021.0125,1018.2,1028.1,251.875,214,285,8.554166666666665,6.9,9.7,6
2019-01-09,6.3,143.0,210,1.72,243.0,111.8,0.46,2.770833333333333,4,64.16666666666667,129.72916666666666,66.19791666666667,32.833333333333336,222,41.0625,288,9.385416666666666,8.6,10.5,0.1541666666666666,0.0,0.6,82.53333333333333,72.5,90.2,1017.0125,1015.4,1019.7,308.7916666666667,0,360,6.64375,3.7,8.5,6
2019-01-10,0.6,143.0,210,1.72,243.0,111.8,0.46,1.0208333333333333,2,64.35416666666667,128.3125,45.3,17.166666666666668,109,16.583333333333332,105,7.6125,5.7,9.2,0.0354166666666666,0.0,0.1,84.44583333333334,75.3,89.9,1023.8375,1019.9,1026.6,156.625,2,358,4.458333333333333,2.3,5.5,6
