production,p_per_m2,panel_area,facade_area,total_panel_area,air_temp_mean,air_temp_std,cloud_opacity_mean,cloud_opacity_min,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,cloud_opacity_max,dni_mean,dni_std,dni_q3,dni_max,ghi_mean,ghi_std,ghi_q3,ghi_max,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_mean,relative_humidity_std,relative_humidity_min,relative_humidity_q1
1.0,143.0,1.72,243.0,111.8,6.25531914893617,0.440754546026174,42.36595744680851,0.0,21.3,53.8,60.5,80.2,18.829787234042552,79.58351346334952,0.0,389,24.21276595744681,37.26808645839118,59.5,115,29.80851063829787,53.18697057586499,58.0,248,90.0723404255319,3.9411817984644713,84.7,86.6
23.8,143.0,1.72,243.0,111.8,3.375,1.5659270926752842,4.5,0.0,0.0,0.0,1.0,42.8,86.27083333333333,166.4498825067919,64.25,583,49.16666666666666,81.92870105608648,83.5,279,82.04166666666667,141.28211679056443,156.0,524,75.1125,4.339360919708042,67.1,72.95
1.6,143.0,1.72,243.0,111.8,-0.6458333333333334,1.862160531203373,22.2625,0.0,0.0,8.1,51.85,70.2,16.166666666666668,58.81247998017461,0.0,314,33.479166666666664,54.27784689097908,60.25,153,38.25,62.582541240230135,58.75,209,89.10416666666667,4.00727839584973,80.6,87.1
8.1,143.0,1.72,243.0,111.8,1.0833333333333333,1.217484908960312,56.91666666666666,10.7,35.275,54.7,73.775,96.7,32.1875,91.48994974452286,2.5,526,44.04166666666666,76.33909746269235,68.0,269,56.645833333333336,107.8767006144561,82.75,483,89.74374999999999,5.34920579708563,80.6,86.2
0.2,143.0,1.72,243.0,111.8,2.4791666666666665,1.2202124567944357,82.42291666666667,53.5,76.15,82.2,91.4,96.4,0.0,0.0,0.0,0,13.354166666666666,22.30398264534771,31.0,87,12.9375,21.56573942672211,30.0,84,93.08125,2.851177901417573,89.3,90.7
0.8,143.0,1.72,243.0,111.8,3.75,0.4375949744936837,74.6375,47.4,67.275,72.0,81.19999999999999,95.9,0.0,0.0,0.0,0,20.95833333333333,34.14733928349094,44.25,98,20.25,32.967746972238366,42.25,94,92.78958333333333,0.7949948704058537,91.2,92.0
1.4,143.0,1.72,243.0,111.8,3.333333333333333,0.4763930673403308,58.43125,4.1,51.675,57.8,69.0,95.9,1.0208333333333333,5.11771883745979,0.0,34,24.45833333333333,38.587815480357264,53.25,112,23.979166666666668,37.48559415967081,52.0,108,89.50416666666666,3.671799276795769,82.2,86.52499999999999
12.0,143.0,1.72,243.0,111.8,4.833333333333333,1.0175760378997736,68.14583333333333,8.7,53.8,68.75,95.575,96.5,44.72916666666666,129.69436077298062,0.0,516,41.125,80.32185919057022,35.5,264,59.270833333333336,130.55719209527072,34.5,477,85.93958333333335,4.488554692431662,78.6,81.975
6.3,143.0,1.72,243.0,111.8,2.770833333333333,0.99444378409054,66.19791666666667,8.2,54.0,68.4,84.0,95.8,23.58333333333333,72.87553753922647,0.0,386,32.833333333333336,57.20747359795739,55.0,222,41.0625,76.71677844998888,52.75,288,82.53333333333333,5.046436844219394,72.5,78.45
0.6,143.0,1.72,243.0,111.8,1.0208333333333333,0.9562689760783464,45.3,0.0,0.0,61.8,74.625,88.2,0.0,0.0,0.0,0,17.166666666666668,28.04049756238464,35.0,109,16.583333333333332,27.07659217796123,34.0,105,84.44583333333334,4.869704798311197,75.3,79.7
1.4,143.0,1.72,243.0,111.8,-0.0416666666666666,0.8981857205792589,74.34375,17.0,65.15,71.85,91.525,93.4,0.0,0.0,0.0,0,21.104166666666668,35.81408232675802,30.75,111,20.354166666666668,34.56938110422398,29.75,107,89.02083333333333,2.099945119174806,84.3,87.6
1.1,143.0,1.72,243.0,111.8,2.895833333333333,1.2245638968990773,83.3875,56.2,76.925,88.4,91.375,96.8,0.0,0.0,0.0,0,18.6875,30.57753051409524,40.5,103,18.02083333333333,29.48601513688281,39.5,99,90.8875,3.062652514656521,85.8,87.675
0.1,143.0,1.72,243.0,111.8,7.104166666666667,1.587713240271471,84.01666666666667,48.9,77.6,89.6,94.975,96.1,0.0,0.0,0.0,0,14.208333333333334,24.725693702665133,19.5,80,13.729166666666666,23.860177438063754,18.5,77,91.19166666666666,2.1242103246962314,88.0,89.4
9.2,143.0,1.72,243.0,111.8,5.4375,1.8090346549966152,45.614583333333336,8.3,40.4,49.3,58.05,77.7,2.270833333333333,10.348685975448271,0.0,60,31.604166666666668,52.420452230563015,42.75,165,31.3125,51.35821476068124,42.5,159,83.86458333333333,2.7727004720671524,78.7,82.475
5.6,143.0,1.72,243.0,111.8,3.4375,1.8439810078866885,25.49375,0.0,0.0,15.05,49.275,67.9,13.020833333333334,51.41797416639328,0.0,273,35.5625,57.18201854325231,52.5,168,39.10416666666666,64.77727457541293,59.5,232,84.28958333333334,7.69941251097669,70.1,78.075
27.4,143.0,1.72,243.0,111.8,3.6041666666666665,2.090908214896237,42.70208333333333,0.5,23.675,52.8,58.125,71.4,89.83333333333333,189.2792975532969,11.75,735,52.145833333333336,89.4572260995077,71.75,265,84.64583333333333,151.94812798876723,97.0,515,76.06666666666666,9.402904334782844,61.0,68.65
16.6,143.0,1.72,243.0,111.8,5.8125,1.4968939472660387,53.19166666666666,2.0,33.9,65.9,70.175,81.1,56.583333333333336,137.18349775660914,0.0,573,43.833333333333336,81.02963296498211,50.5,272,64.5,126.91494890405598,49.25,474,77.79791666666667,4.394749748803674,71.3,73.975
15.2,143.0,1.72,243.0,111.8,0.9791666666666666,1.804127458503091,27.835416666666664,0.0,0.0,18.8,55.025,77.0,30.854166666666668,87.01014604162204,0.0,490,38.3125,66.11278443657811,58.0,264,49.145833333333336,93.16788543208716,71.0,459,80.99374999999999,7.138669232024646,65.2,77.425
51.5,143.0,1.72,243.0,111.8,-2.1666666666666665,1.8489023003696152,9.397916666666667,0.0,0.0,0.0,0.0,85.3,230.47916666666663,338.7201185428373,598.75,828,78.79166666666667,126.79183112376091,142.25,356,159.41666666666666,247.66989297555887,332.0,671,84.37083333333334,8.442066862315247,69.2,78.275
1.8,143.0,1.72,243.0,111.8,-2.0625,1.5075166277619376,60.89166666666667,0.0,60.1,68.4,69.5,85.0,0.0,0.0,0.0,0,28.89583333333333,47.35346471555568,51.75,154,27.854166666666668,45.64478464455964,49.75,148,83.09166666666667,4.106447101987121,76.0,80.25
26.5,143.0,1.72,243.0,111.8,-3.0,1.1850127928207932,8.652083333333334,0.0,0.0,0.0,5.675,60.2,95.02083333333331,211.0159305858041,1.5,644,59.3125,99.49450027567543,88.75,326,92.89583333333331,168.46872802599017,114.0,576,86.68333333333334,4.169153867588865,77.5,84.225
2.4,143.0,1.72,243.0,111.8,-1.8958333333333333,1.4909597556298433,29.485416666666666,0.0,0.0,21.1,62.65,80.8,8.770833333333334,42.7203870725817,0.0,270,26.041666666666668,39.79519822062002,46.25,114,27.75,42.56234476023802,53.25,154,83.07916666666667,4.708342904653539,74.8,81.375
3.4,143.0,1.72,243.0,111.8,-1.1041666666666667,0.8052905735207748,46.99166666666667,18.5,43.95,46.7,57.85,63.3,0.0,0.0,0.0,0,40.145833333333336,66.85041720245165,66.25,196,38.8125,64.58991959095442,64.25,189,77.80624999999999,2.0346369062871035,73.9,76.375
