date,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max,building_id
2019-01-01,0.4,143.0,210,1.72,251.0,111.8,0.445,6.25531914893617,7,61.340425531914896,129.08510638297872,42.49787234042553,24.127659574468087,115,29.78723404255319,248,11.629787234042556,9.1,14.0,0.0893617021276595,0.0,0.5,90.01489361702127,84.7,95.9,1031.6893617021276,1030.5,1034.3,256.4468085106383,227,312,5.053191489361702,2.2,7.5,3
2019-01-02,4.6,143.0,210,1.72,251.0,111.8,0.445,3.375,5,59.520833333333336,120.47916666666669,4.497916666666667,49.16666666666666,279,82.08333333333333,524,7.347916666666666,5.9,9.0,0.0416666666666666,0.0,0.2,75.15416666666667,67.1,84.0,1034.6166666666666,1031.3,1037.9,317.4375,294,339,6.252083333333334,2.0,7.6,3
2019-01-03,0.9,143.0,210,1.72,251.0,111.8,0.445,-0.6666666666666666,2,59.91666666666666,121.60416666666669,22.275,33.479166666666664,151,38.22916666666666,209,9.00625,6.5,11.6,0.0520833333333333,0.0,0.3,89.13125000000001,80.6,95.2,1038.05,1037.3,1039.0,291.3958333333333,213,345,2.160416666666667,1.1,3.6,3
2019-01-04,3.7,143.0,210,1.72,251.0,111.8,0.445,1.0833333333333333,3,63.16666666666666,134.9375,56.97291666666666,43.91666666666666,269,56.25,483,11.304166666666667,10.1,13.2,0.0291666666666666,0.0,0.1,89.77291666666667,80.6,97.6,1036.86875,1035.4,1038.4,226.9375,2,359,2.6354166666666665,0.6,4.6,3
2019-01-05,0.0,143.0,210,1.72,251.0,111.8,0.445,2.4791666666666665,4,60.85416666666666,126.16666666666669,82.26458333333333,13.375,87,12.916666666666666,84,15.908333333333331,13.2,20.5,0.33125,0.0,0.8,93.1625,89.3,98.4,1032.5104166666667,1031.5,1035.4,259.8958333333333,236,287,5.227083333333334,3.7,6.2,3
2019-01-06,0.4,143.0,210,1.72,251.0,111.8,0.445,3.75,4,62.75,131.6875,74.53958333333334,21.0,98,20.291666666666668,94,14.235416666666666,13.2,15.4,0.2979166666666666,0.1,0.5,92.79375,91.2,93.8,1033.1458333333333,1031.6,1034.8,276.6458333333333,235,290,3.954166666666667,2.6,5.8,3
2019-01-07,0.8,143.0,210,1.72,251.0,111.8,0.445,3.333333333333333,4,64.64583333333333,135.60416666666666,58.41875,24.39583333333333,112,23.979166666666668,108,13.114583333333334,9.7,19.6,0.0625,0.0,0.3,89.50416666666666,82.2,93.8,1033.2958333333331,1028.6,1034.7,254.4375,213,300,3.2916666666666665,1.7,7.7,3
2019-01-08,2.7,143.0,210,1.72,251.0,111.8,0.445,4.833333333333333,6,64.29166666666667,132.91666666666666,68.15833333333333,41.125,264,59.41666666666666,479,12.83125,9.3,19.3,0.3208333333333333,0.1,0.7,85.91250000000001,78.6,93.4,1020.9666666666668,1018.2,1028.1,251.7708333333333,214,285,8.545833333333333,6.8,9.7,3
2019-01-09,2.4,143.0,210,1.72,251.0,111.8,0.445,2.708333333333333,4,64.1875,129.75,66.21666666666667,32.833333333333336,222,41.0625,288,9.385416666666666,8.6,10.5,0.1583333333333333,0.0,0.6,82.63125000000001,72.5,90.2,1016.9541666666668,1015.4,1019.7,308.7708333333333,0,360,6.633333333333333,3.7,8.4,3
2019-01-10,0.2,143.0,210,1.72,251.0,111.8,0.445,1.0,2,64.33333333333333,128.27083333333334,45.28541666666666,17.208333333333332,109,16.666666666666668,105,7.627083333333334,5.7,9.2,0.0354166666666666,0.0,0.1,84.46875,75.3,89.9,1023.8020833333334,1019.9,1026.6,156.60416666666666,2,357,4.45625,2.3,5.5,3
2019-01-11,0.8,143.0,210,1.72,251.0,111.8,0.445,-0.0416666666666666,1,65.625,133.66666666666666,74.28125,21.104166666666668,111,20.354166666666668,107,12.589583333333332,7.1,15.6,0.1125,0.0,0.3,89.04583333333333,84.3,92.3,1026.4708333333333,1025.8,1027.1,251.97916666666663,220,358,3.6666666666666665,0.9,5.8,3
2019-01-12,0.6,143.0,210,1.72,251.0,111.8,0.445,2.895833333333333,4,67.08333333333333,136.54166666666666,83.37083333333334,18.666666666666668,103,18.02083333333333,99,15.016666666666666,12.0,18.9,0.3708333333333333,0.0,1.6,90.75,85.8,94.2,1023.4395833333332,1017.2,1027.0,222.5,211,230,7.0625,5.3,9.7,3
2019-01-13,0.1,143.0,210,1.72,251.0,111.8,0.445,7.104166666666667,9,65.29166666666667,130.9375,84.02499999999999,14.229166666666666,80,13.75,77,19.566666666666663,14.7,23.1,0.6208333333333333,0.2,1.2,91.18125,88.0,95.1,1011.83125,1006.5,1017.0,243.5,223,280,8.939583333333333,6.4,11.2,3
2019-01-14,5.5,143.0,210,1.72,251.0,111.8,0.445,5.4375,8,68.47916666666667,137.04166666666666,45.475,31.666666666666668,165,31.375,159,11.183333333333332,8.2,16.4,0.1375,0.0,0.8,83.86666666666666,78.7,90.2,1014.65,1006.8,1022.6,293.4166666666667,277,311,7.6125,4.8,9.6,3
2019-01-15,3.3,143.0,210,1.72,251.0,111.8,0.445,3.4375,6,68.8125,136.625,25.472916666666663,35.5625,168,39.10416666666666,232,11.0375,8.5,13.1,0.0,0.0,0.0,84.28958333333334,70.1,93.6,1022.86875,1021.0,1024.0,232.1875,218,283,4.785416666666666,3.7,5.5,3
2019-01-16,13.8,143.0,210,1.72,251.0,111.8,0.445,3.6041666666666665,7,74.25,152.875,42.67083333333333,52.35416666666666,269,85.375,515,8.922916666666667,7.5,13.1,0.0,0.0,0.0,75.99583333333334,61.0,87.6,1014.35,1009.4,1020.7,204.3958333333333,194,217,5.791666666666667,3.5,8.6,3
2019-01-17,5.2,143.0,210,1.72,251.0,111.8,0.445,5.791666666666667,7,72.8125,145.91666666666666,53.23541666666667,43.72916666666666,271,64.10416666666667,469,12.279166666666669,6.4,17.2,0.1916666666666666,0.0,0.6,77.82083333333334,71.3,86.2,1009.6208333333334,1006.8,1015.7,236.7083333333333,206,284,8.575000000000001,6.3,10.0,3
2019-01-18,5.2,143.0,210,1.72,251.0,111.8,0.445,0.9791666666666666,3,75.25,149.25,27.89375,38.25,264,48.958333333333336,459,6.514583333333333,5.8,7.7,0.0125,0.0,0.1,80.99791666666667,65.2,91.8,1018.91875,1016.0,1020.9,151.41666666666666,10,341,3.2895833333333333,0.7,6.1,3
2019-01-19,33.0,143.0,210,1.72,251.0,111.8,0.445,-2.208333333333333,1,78.79166666666667,159.4375,9.4625,78.79166666666667,356,159.4375,671,5.41875,4.8,6.3,0.0,0.0,0.0,84.41875,69.2,94.7,1015.5208333333334,1013.1,1018.6,109.35416666666669,61,148,2.2729166666666667,1.2,3.3,3
2019-01-20,1.1,143.0,210,1.72,251.0,111.8,0.445,-2.0625,0,74.39583333333333,144.0,60.81666666666666,28.89583333333333,154,27.854166666666668,148,9.816666666666666,6.3,11.0,0.0125,0.0,0.1,83.08541666666666,76.0,88.5,1015.09375,1012.8,1019.1,82.04166666666667,25,165,2.2041666666666666,1.1,3.8,3
2019-01-21,4.5,143.0,210,1.72,251.0,111.8,0.445,-3.0,-1,80.0625,158.5625,8.633333333333335,59.375,328,93.10416666666669,581,6.329166666666667,4.3,10.1,0.0,0.0,0.0,86.66041666666666,77.5,91.7,1020.3208333333332,1019.2,1021.9,32.875,13,187,2.7145833333333336,0.3,3.9,3
2019-01-22,1.4,143.0,210,1.72,251.0,111.8,0.445,-1.8958333333333333,0,81.70833333333333,160.54166666666666,29.110416666666666,25.979166666666668,114,27.729166666666668,154,5.116666666666666,4.3,7.6,0.0,0.0,0.0,83.02499999999999,74.8,90.6,1010.0916666666668,1002.0,1019.1,176.0625,155,202,3.09375,1.8,4.1,3
2019-01-23,2.3,143.0,210,1.72,251.0,111.8,0.445,-1.1041666666666667,0,78.85416666666667,151.125,46.96875,40.125,196,38.79166666666666,190,8.891666666666667,7.9,9.4,0.0083333333333333,0.0,0.1,77.72916666666667,73.9,80.6,998.54375,996.4,1002.8,79.91666666666667,5,155,3.55625,1.9,5.1,3
2019-01-24,0.6,143.0,210,1.72,251.0,111.8,0.445,-2.083333333333333,-2,76.5625,137.83333333333334,51.83125,16.354166666666668,72,15.875,70,6.541666666666667,5.5,8.3,0.0,0.0,0.0,76.14375,72.1,79.9,1009.7333333333332,1003.2,1015.4,270.4375,0,360,2.6666666666666665,1.6,3.8,3
2019-01-25,2.3,143.0,210,1.72,251.0,111.8,0.445,-1.1875,1,80.75,150.14583333333334,59.0375,25.14583333333333,127,24.3125,122,8.741666666666667,5.4,16.6,0.0229166666666666,0.0,0.1,76.23541666666667,71.1,80.8,1017.0479166666668,1015.3,1018.2,212.8958333333333,189,262,4.329166666666667,2.6,7.8,3
2019-01-26,2.2,143.0,210,1.72,251.0,111.8,0.445,2.8125,5,81.91666666666667,154.22916666666666,77.04791666666667,25.52083333333333,133,24.6875,129,14.16875,10.1,17.1,0.0604166666666666,0.0,0.3,83.93541666666667,75.4,87.3,1012.20625,1003.2,1017.1,208.1875,192,214,7.847916666666666,7.1,9.3,3
2019-01-27,2.7,143.0,210,1.72,251.0,111.8,0.445,6.041666666666667,8,85.29166666666667,161.8125,74.43958333333333,30.375,228,31.125,274,12.883333333333333,9.5,16.4,0.1999999999999999,0.0,0.7,79.57708333333333,70.5,85.9,994.6125,990.2,1002.6,216.375,191,279,9.427083333333334,6.8,10.6,3
2019-01-28,0.8,143.0,210,1.72,251.0,111.8,0.445,2.395833333333333,3,82.64583333333333,148.625,69.64999999999999,24.0625,110,23.25,106,10.135416666666666,7.0,11.3,0.2125,0.0,0.5,87.94791666666667,85.4,90.4,1000.9125,997.6,1007.7,246.3958333333333,217,282,8.081249999999999,4.4,9.6,3
2019-01-29,16.7,143.0,210,1.72,251.0,111.8,0.445,1.2916666666666667,4,90.64583333333331,170.27083333333334,50.07291666666666,67.4375,371,100.60416666666669,665,7.110416666666667,6.2,8.5,0.0,0.0,0.0,82.34375,65.5,91.7,1005.4666666666668,995.7,1010.2,189.72916666666663,121,264,4.229166666666667,2.6,5.3,3
2019-01-30,2.9,143.0,210,1.72,251.0,111.8,0.445,0.875,3,86.95833333333333,156.6875,50.35416666666666,32.520833333333336,171,31.916666666666668,165,8.831249999999999,6.1,10.8,0.0541666666666666,0.0,0.3,79.33125,70.5,87.3,995.5145833333332,990.8,1000.1,190.41666666666663,124,241,8.010416666666666,4.0,11.3,3
2019-01-31,10.1,143.0,210,1.72,251.0,111.8,0.445,1.2291666666666667,4,95.10416666666669,177.97916666666666,59.025,61.6875,328,84.97916666666667,571,8.55625,5.8,14.7,0.1166666666666666,0.0,0.5,81.55416666666666,66.9,90.2,996.0833333333334,990.8,998.7,160.1875,109,191,5.422916666666667,2.8,7.4,3
2019-02-01,0.8,143.0,210,1.72,251.0,111.8,0.445,4.229166666666667,6,90.125,162.47916666666666,77.00416666666666,25.666666666666668,147,24.83333333333333,142,16.170833333333334,13.8,18.5,0.3229166666666667,0.1,0.8,92.48541666666668,83.9,97.7,989.9958333333334,988.3,991.4,130.64583333333334,45,203,3.695833333333333,1.6,7.2,3
2019-02-02,12.6,143.0,210,1.72,251.0,111.8,0.445,4.791666666666667,7,93.16666666666669,167.3125,66.13541666666667,61.458333333333336,376,87.0,651,11.864583333333334,10.1,13.9,0.00625,0.0,0.1,91.89791666666667,78.7,97.7,996.8979166666668,990.2,1005.6,264.3333333333333,156,358,3.1604166666666664,1.9,4.8,3
2019-02-03,1.4,143.0,210,1.72,251.0,111.8,0.445,2.5625,4,93.35416666666669,164.14583333333334,63.44375,30.229166666666668,174,29.166666666666668,168,10.458333333333334,7.3,13.8,0.1041666666666666,0.0,0.4,82.15208333333334,69.5,92.8,1017.2541666666666,1005.9,1028.5,339.3333333333333,303,355,5.33125,1.7,7.7,3
2019-02-04,32.2,143.0,210,1.72,251.0,111.8,0.445,0.7916666666666666,5,102.9375,188.1458333333333,23.86458333333333,100.5625,423,178.45833333333334,731,6.46875,5.5,8.5,0.0,0.0,0.0,78.44166666666666,58.2,92.0,1028.69375,1027.5,1030.4,166.27083333333334,20,343,1.9125,0.2,4.1,3
2019-02-05,37.4,143.0,210,1.72,251.0,111.8,0.445,0.6458333333333334,5,103.97916666666669,188.3125,1.2458333333333331,103.70833333333331,433,187.3125,741,7.322916666666667,6.4,8.5,0.0,0.0,0.0,79.64583333333333,61.9,91.4,1028.8125,1027.6,1029.8,176.5,131,218,2.4479166666666665,0.8,4.0,3
2019-02-06,35.4,143.0,210,1.72,251.0,111.8,0.445,1.0208333333333333,7,106.97916666666669,193.54166666666663,17.65625,105.08333333333331,443,186.47916666666663,758,6.597916666666666,6.1,7.2,0.0,0.0,0.0,74.89375,53.1,85.3,1025.8916666666669,1020.9,1028.9,189.85416666666663,179,204,3.5270833333333336,2.6,4.8,3
2019-02-07,1.1,143.0,210,1.72,251.0,111.8,0.445,2.5625,5,99.95833333333331,173.47916666666666,53.56458333333333,23.8125,150,22.9375,144,13.25625,7.2,19.3,0.13125,0.0,0.5,82.27708333333334,66.5,93.2,1017.6333333333332,1015.8,1020.9,203.35416666666663,191,219,7.360416666666667,5.1,8.5,3
2019-02-08,17.4,143.0,210,1.72,251.0,111.8,0.445,6.375,10,102.29166666666669,176.60416666666666,28.797916666666666,76.8125,363,102.85416666666669,605,13.43125,10.9,16.9,0.0020833333333333,0.0,0.1,76.26041666666667,63.5,89.8,1017.3666666666668,1011.9,1020.5,194.2708333333333,184,205,7.666666666666667,6.4,10.2,3
2019-02-09,5.5,143.0,210,1.72,251.0,111.8,0.445,8.854166666666666,11,105.14583333333331,180.3125,66.5625,46.29166666666666,261,45.1875,263,13.233333333333334,10.7,16.8,0.0541666666666666,0.0,0.5,67.12916666666666,59.6,77.6,1013.5145833333332,1010.3,1015.4,214.1875,194,228,9.297916666666667,7.6,12.2,3
2019-02-10,1.3,143.0,210,1.72,251.0,111.8,0.445,8.8125,13,105.45833333333331,180.91666666666663,75.49166666666666,29.604166666666668,140,28.58333333333333,135,16.1875,11.6,21.0,0.3729166666666666,0.0,2.4,70.55208333333333,55.6,84.5,1004.6520833333334,998.6,1013.1,213.9375,186,245,11.135416666666666,7.8,14.0,3
2019-02-11,7.2,143.0,210,1.72,251.0,111.8,0.445,4.645833333333333,6,111.85416666666669,191.2083333333333,48.48541666666667,53.208333333333336,277,61.583333333333336,449,9.339583333333334,8.4,12.1,0.0729166666666666,0.0,0.3,78.78958333333334,68.7,91.4,1020.9979166666668,1009.7,1031.1,266.4375,248,278,6.241666666666667,3.7,8.7,3
2019-02-12,12.9,143.0,210,1.72,251.0,111.8,0.445,2.6875,6,115.5,198.75,32.22083333333333,81.16666666666667,361,102.04166666666669,606,10.170833333333333,7.5,12.7,0.0125,0.0,0.1,82.63333333333334,58.4,96.5,1035.4729166666666,1031.7,1038.0,249.10416666666663,165,313,2.325,0.6,4.7,3
2019-02-13,42.2,143.0,210,1.72,251.0,111.8,0.445,2.208333333333333,9,116.79166666666669,197.35416666666663,2.3208333333333333,116.625,468,196.7083333333333,758,10.43125,9.8,11.6,0.0,0.0,0.0,75.70208333333333,46.8,93.3,1037.0479166666669,1036.1,1037.9,129.83333333333334,88,173,1.29375,0.9,2.0,3
2019-02-14,43.8,143.0,210,1.72,251.0,111.8,0.445,4.333333333333333,12,118.8125,198.6458333333333,3.189583333333333,118.58333333333331,475,197.8125,767,9.50625,7.9,10.3,0.0,0.0,0.0,71.70416666666667,44.6,86.1,1036.0645833333333,1034.6,1037.5,140.72916666666666,85,192,1.9104166666666669,0.6,3.7,3
2019-02-15,43.7,143.0,210,1.72,251.0,111.8,0.445,5.4375,15,125.0,210.1875,0.0,125.0,494,210.1875,795,6.1125,4.8,7.8,0.0,0.0,0.0,70.32708333333333,41.3,86.2,1032.2520833333333,1029.7,1034.6,144.95833333333334,88,185,1.9666666666666668,0.8,3.6,3
2019-02-16,44.0,143.0,210,1.72,251.0,111.8,0.445,6.083333333333333,16,127.83333333333331,214.16666666666663,0.0458333333333333,127.72916666666669,501,213.8333333333333,805,5.854166666666667,4.7,6.8,0.0,0.0,0.0,66.40833333333333,37.8,81.8,1028.575,1027.1,1029.8,191.22916666666663,187,196,4.2375,2.9,5.7,3
2019-02-17,44.2,143.0,210,1.72,251.0,111.8,0.445,6.5625,17,131.79166666666666,219.5,5.541666666666667,131.79166666666666,514,219.5,821,5.08125,4.4,6.2,0.0,0.0,0.0,63.24375,33.5,79.2,1024.8895833333331,1022.8,1027.1,191.91666666666663,178,208,4.664583333333334,3.4,5.4,3
2019-02-18,44.2,143.0,210,1.72,251.0,111.8,0.445,6.416666666666667,16,130.9375,215.1875,7.033333333333334,130.8125,509,214.5833333333333,805,6.729166666666667,6.2,7.9,0.0,0.0,0.0,65.42916666666666,37.8,81.4,1021.10625,1018.9,1023.4,194.5208333333333,151,217,3.95625,1.2,5.5,3
2019-02-19,3.1,143.0,210,1.72,251.0,111.8,0.445,6.75,11,109.6875,160.875,55.02291666666667,29.854166666666668,131,29.20833333333333,127,14.072916666666666,8.2,17.8,0.0,0.0,0.0,75.07916666666667,61.8,90.6,1021.6854166666668,1020.0,1023.6,243.54166666666663,4,358,4.0625,1.0,7.1,3
2019-02-20,30.8,143.0,210,1.72,251.0,111.8,0.445,6.583333333333333,13,122.16666666666669,188.625,35.84791666666667,105.20833333333331,455,144.97916666666666,683,14.4,11.8,16.4,0.0,0.0,0.0,82.95,62.1,96.5,1024.9916666666666,1023.6,1027.2,195.66666666666663,163,349,1.8854166666666667,0.1,3.0,3
2019-02-21,33.7,143.0,210,1.72,251.0,111.8,0.445,8.479166666666666,16,129.20833333333334,202.875,8.033333333333333,119.60416666666669,499,177.29166666666666,771,15.660416666666668,13.0,18.4,0.0,0.0,0.0,74.24374999999999,49.3,93.1,1028.925,1027.4,1031.6,239.22916666666663,199,306,2.6,1.3,3.8,3
2019-02-22,9.1,143.0,210,1.72,251.0,111.8,0.445,9.1875,13,130.375,204.29166666666663,32.052083333333336,63.97916666666666,336,68.89583333333333,371,16.035416666666666,12.2,20.3,0.0,0.0,0.0,77.37708333333333,59.3,90.3,1034.3666666666666,1031.9,1036.4,154.35416666666666,7,353,3.48125,0.8,5.9,3
2019-02-23,38.1,143.0,210,1.72,251.0,111.8,0.445,6.479166666666667,12,144.39583333333334,231.5833333333333,17.164583333333333,135.85416666666666,520,209.22916666666663,810,7.55,5.9,11.8,0.0,0.0,0.0,60.44791666666666,31.2,92.0,1035.96875,1034.9,1036.8,64.83333333333333,48,83,5.464583333333334,4.5,6.9,3
2019-02-24,48.2,143.0,210,1.72,251.0,111.8,0.445,5.75,13,145.89583333333334,232.5,3.96875,144.54166666666666,542,229.22916666666663,836,8.908333333333333,6.7,12.7,0.0,0.0,0.0,42.54375,25.6,55.4,1036.26875,1035.3,1037.3,53.125,35,111,3.4729166666666664,0.4,5.3,3
2019-02-25,47.2,143.0,210,1.72,251.0,111.8,0.445,8.270833333333334,17,146.1875,230.0833333333333,10.166666666666666,144.08333333333334,544,224.2083333333333,829,9.9875,8.3,11.8,0.0,0.0,0.0,50.76041666666666,34.7,77.8,1035.95,1034.6,1037.1,48.875,33,61,3.797916666666667,2.1,4.9,3
2019-02-26,43.3,143.0,210,1.72,251.0,111.8,0.445,8.854166666666666,19,151.3125,237.10416666666663,15.733333333333334,146.4375,560,223.66666666666663,853,8.714583333333334,6.2,10.6,0.0,0.0,0.0,67.69583333333334,36.3,87.5,1033.5229166666666,1031.6,1035.4,57.125,38,97,2.1,0.8,3.5,3
2019-02-27,45.5,143.0,210,1.72,251.0,111.8,0.445,9.541666666666666,19,153.75,239.5,0.1458333333333333,152.9375,566,237.7708333333333,854,8.345833333333333,7.0,10.6,0.0,0.0,0.0,63.02708333333334,29.4,84.2,1027.0020833333333,1022.4,1031.6,127.08333333333331,42,209,1.89375,0.4,6.1,3
2019-02-28,40.7,143.0,210,1.72,251.0,111.8,0.445,10.8125,18,145.5625,218.9583333333333,1.1916666666666669,143.08333333333334,539,212.3958333333333,796,12.933333333333332,8.2,18.6,0.0645833333333333,0.0,0.7,60.79375,43.2,74.7,1020.3229166666666,1018.6,1022.4,232.0625,209,273,6.833333333333333,5.5,8.7,3
