production,p_per_m2,panel_area,facade_area,total_panel_area,air_temp_mean,air_temp_std,cloud_opacity_mean,cloud_opacity_min,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,cloud_opacity_max,dni_mean,dni_std,dni_q3,dni_max,ghi_mean,ghi_std,ghi_q3,ghi_max,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_mean,relative_humidity_std,relative_humidity_min,relative_humidity_q1
8.075000000000001,143.0,1.72,218.0,94.6,4.0638297872340425,1.3854656860755727,36.06468306737588,0.975,18.50625,33.1125,56.6625,81.825,57.660239361702125,118.96780221811038,106.6875,453.75,35.09430407801418,58.09198276294373,61.625,175.5,55.925199468085104,95.72356864171329,102.625,326.5,90.56843971631206,4.504940893748246,81.275,87.49375
0.7,143.0,1.72,218.0,94.6,4.221409574468085,1.439878948259035,31.63249113475177,0.0,10.775,34.05,60.237500000000004,79.6,25.539228723404257,89.81821138200013,0.0,473.5,31.56360815602837,52.90549978817441,58.75,174.0,40.433732269503544,77.08467755113682,61.75,336.5,90.55146276595744,3.9025990685446574,83.0,88.175
1.3250000000000002,143.0,1.72,218.0,94.6,6.932291666666667,1.10588253533205,59.41822916666667,24.75,44.6375,63.425000000000004,71.45625,91.35,1.953125,10.129730725715481,0.0,68.0,29.90625,47.84674103348604,52.0,158.0,29.66145833333333,48.05628028370839,50.4375,160.25,87.21354166666667,3.528559952733524,81.225,85.10624999999999
1.3,143.0,1.72,218.0,94.6,5.822916666666667,1.1222366177214287,59.375,27.200000000000003,48.1625,62.325,69.325,92.45,0.4583333333333333,3.1754264805429413,0.0,22.0,27.28125,42.800757785482375,51.0,134.0,26.36458333333333,41.34282953691872,49.375,129.5,87.15416666666667,3.4728141145560016,80.4,85.63749999999999
18.25,143.0,1.72,218.0,94.6,6.647368421052632,2.9770071581330204,34.0,0.0,14.637500000000001,35.825,52.4875,77.925,188.14210526315787,263.85735644303594,379.5,681.0,115.70526315789473,162.86751670654905,236.625,467.75,165.46315789473684,235.50519800097715,337.0,675.75,69.62578947368421,11.67444296279076,48.175,60.737500000000004
14.05,143.0,1.72,218.0,94.6,7.147368421052631,2.9936956481237376,36.8021052631579,0.0,5.7,35.45,64.275,89.94999999999999,216.91578947368419,331.90887153600534,377.5,903.0,136.13684210526316,194.2453500739291,266.5,558.5,195.31578947368422,285.90202918887456,369.5,833.5,67.77157894736843,13.508169371475429,41.75,56.975
33.625,143.0,1.72,218.0,94.6,8.916666666666666,4.105085441446982,20.557291666666664,12.825,17.675,19.3375,21.96875,35.95,243.53645833333334,272.71901314327687,536.375,645.25,183.32291666666663,227.630049234388,385.1875,599.25,225.61458333333334,285.5102173889792,472.6875,755.0,65.15260416666666,12.704074160989032,46.425,53.425000000000004
42.2,143.0,1.72,218.0,94.6,8.125,4.539560337945407,3.057291666666667,0.0,0.0,0.0,1.6125,24.75,285.1041666666667,333.38909560625166,637.0,810.0,219.26041666666663,274.57729390301034,459.25,719.5,272.55208333333337,348.4371423530579,566.75,920.5,60.14270833333334,15.292251075545654,37.1,44.8625
19.8,143.0,1.72,218.0,94.6,10.73684210526316,3.3473773618958242,34.14763157894737,8.525,21.175,29.25,46.6875,67.825,146.60526315789474,183.71283178738622,221.375,526.75,178.35263157894735,206.21652833083073,345.5,620.5,186.61052631578946,224.90686029773812,359.875,690.75,74.74763157894736,14.392463861869155,52.225,61.47500000000001
16.1,143.0,1.72,218.0,94.6,11.16842105263158,3.117675693455328,36.09263157894737,2.55,13.9,25.75,57.35,80.19999999999999,85.85263157894738,168.1706593241264,24.0,601.0,154.1263157894737,189.22477158801436,271.25,652.0,155.39999999999998,200.52137722708508,263.0,720.5,76.89473684210526,12.648660042314363,57.85,67.15
