production,p_per_m2,panel_area,facade_area,total_panel_area,exploitation_ratio,cloud_opacity_mean,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,dni_mean,dni_std,dni_q3,dni_max,ghi_std,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_std,relative_humidity_min
0.8,143.0,1.72,218.0,94.6,0.434,42.61914893617021,21.55,53.8,61.400000000000006,18.76595744680851,79.28572785815965,0.0,389,37.07174832118482,29.638297872340427,52.90369656350354,57.5,246,3.9013743160733214,84.7
16.9,143.0,1.72,218.0,94.6,0.434,4.558333333333334,0.0,0.0,1.0,85.85416666666667,166.08674862064066,64.25,583,81.78446147220062,81.70833333333333,140.9319978364899,155.25,523,4.301754136684505,67.1
1.4,143.0,1.72,218.0,94.6,0.434,22.277083333333334,0.0,8.1,51.05,15.791666666666666,58.24451698542316,0.0,314,54.14280025219362,38.0625,62.07901836592291,58.75,205,4.039261549497415,80.6
6.6,143.0,1.72,218.0,94.6,0.434,57.04791666666667,36.5,54.7,73.525,30.70833333333333,89.63138658412525,1.25,517,75.7245732434842,55.625,106.06413655816836,82.75,478,5.344782286963193,80.6
0.3,143.0,1.72,218.0,94.6,0.434,82.42291666666667,76.5,82.2,91.4,0.0,0.0,0.0,0,22.45357701052052,12.958333333333334,21.64801433902646,30.0,84,2.902657592498771,89.3
0.7,143.0,1.72,218.0,94.6,0.434,74.675,67.55,71.8,81.19999999999999,0.0,0.0,0.0,0,34.29471766284814,20.3125,33.064833958162424,42.25,94,0.7869700175423635,91.2
1.2,143.0,1.72,218.0,94.6,0.434,58.41666666666666,51.4,57.8,68.55,1.0833333333333333,4.932882862316247,0.0,28,38.51935476470707,23.979166666666668,37.53324176764715,52.0,108,3.671799276795769,82.2
9.5,143.0,1.72,218.0,94.6,0.434,68.14375,53.8,69.25,95.5,46.04166666666666,134.55647526396115,0.0,541,80.54424800396876,59.75,132.50748674151657,34.5,489,4.505976626061208,78.6
5.3,143.0,1.72,218.0,94.6,0.434,66.27083333333333,54.45,68.4,84.0,23.5625,72.76979331528251,0.0,385,57.09994969629263,41.020833333333336,76.67324690385912,53.0,288,5.104767622749291,72.5
0.5,143.0,1.72,218.0,94.6,0.434,45.225,0.0,61.35,74.625,0.0,0.0,0.0,0,28.20648754659665,16.708333333333332,27.31141008017301,34.25,106,4.9056614420888565,75.3
1.2,143.0,1.72,218.0,94.6,0.434,74.31875000000001,65.15,71.6,91.525,0.0,0.0,0.0,0,35.81408232675802,20.375,34.56269357608059,29.75,107,2.06675388742968,84.3
0.8,143.0,1.72,218.0,94.6,0.434,83.32708333333333,76.3,88.35,91.375,0.0,0.0,0.0,0,30.7041476164225,18.125,29.68460092227775,39.25,101,2.929144787202766,85.8
0.2,143.0,1.72,218.0,94.6,0.434,84.03333333333333,78.15,89.75,95.225,0.0,0.0,0.0,0,24.668574418271263,13.6875,23.788211142532383,18.5,76,2.118483960472705,88.0
8.4,143.0,1.72,218.0,94.6,0.434,45.71875,40.65,49.3,58.125,2.083333333333333,9.50886111562852,0.0,53,52.3165318379009,31.1875,51.18703968696465,41.5,159,2.794465623436333,78.7
5.0,143.0,1.72,218.0,94.6,0.434,25.6625,0.0,15.05,49.525,13.5,53.579926377686434,0.0,277,57.08705791027476,39.22916666666666,65.42764058471212,58.75,242,7.673662010571115,70.5
22.9,143.0,1.72,218.0,94.6,0.434,42.63333333333333,23.375,52.45,58.25,92.95833333333331,194.2813224926769,11.75,735,90.63810188979244,86.29166666666667,155.67245459800327,96.25,515,9.445318317588216,60.9
12.2,143.0,1.72,218.0,94.6,0.434,53.37916666666666,34.15,65.9,70.175,55.25,134.72280446365863,0.0,574,80.36562890011275,63.645833333333336,124.8047819568256,49.25,469,4.385849263126272,71.3
11.9,143.0,1.72,218.0,94.6,0.434,27.891666666666666,0.0,19.45,55.05,30.9375,87.01831703727669,0.0,490,65.79389360852731,49.0,92.7547670392775,71.25,459,7.161198639714359,65.2
41.7,143.0,1.72,218.0,94.6,0.434,9.402083333333334,0.0,0.0,0.0,230.47916666666663,338.7201185428373,598.75,828,126.79254954675916,159.4375,247.68759546414208,332.25,671,8.481606872629982,68.8
1.6,143.0,1.72,218.0,94.6,0.434,60.71666666666667,60.1,68.05000000000001,69.225,0.0,0.0,0.0,0,47.35346471555568,27.854166666666668,45.64478464455964,49.75,148,4.065408805872443,76.0
19.5,143.0,1.72,218.0,94.6,0.434,8.616666666666667,0.0,0.0,5.075,96.45833333333331,214.36943239673724,1.5,648,99.74128768010318,93.39583333333331,169.88027568666084,113.75,589,4.221558462352953,77.5
1.8,143.0,1.72,218.0,94.6,0.434,28.85833333333333,0.0,19.5,62.65,8.729166666666666,42.18588025522048,0.0,262,39.59497402556424,27.58333333333333,42.20458447082034,53.75,151,4.752198072978732,74.8
2.7,143.0,1.72,218.0,94.6,0.434,46.94791666666666,43.8,46.7,57.85,0.0,0.0,0.0,0,66.8800099203817,38.75,64.58986812054803,64.0,190,1.9686730959875505,73.9
0.9,143.0,1.72,218.0,94.6,0.434,51.90833333333333,39.125,65.15,76.75,0.1666666666666666,1.1547005383792517,0.0,8,25.04449940315458,15.916666666666666,24.162423202888007,31.25,70,2.394222322992357,72.1
