production,latitude,longitude,vmp,imp,voc,isc,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_std,air_temp_min,air_temp_q1,air_temp_q2,air_temp_q3,air_temp_max,albedo_mean,albedo_std,albedo_min,albedo_q1,albedo_q2,albedo_q3,albedo_max,azimuth_mean,azimuth_std,azimuth_min,azimuth_q1,azimuth_q2,azimuth_q3,azimuth_max,clearsky_dhi_mean,clearsky_dhi_std,clearsky_dhi_min,clearsky_dhi_q1,clearsky_dhi_q2,clearsky_dhi_q3,clearsky_dhi_max,clearsky_dni_mean,clearsky_dni_std,clearsky_dni_min,clearsky_dni_q1,clearsky_dni_q2,clearsky_dni_q3,clearsky_dni_max,clearsky_ghi_mean,clearsky_ghi_std,clearsky_ghi_min,clearsky_ghi_q1,clearsky_ghi_q2,clearsky_ghi_q3,clearsky_ghi_max,clearsky_gti_mean,clearsky_gti_std,clearsky_gti_min,clearsky_gti_q1,clearsky_gti_q2,clearsky_gti_q3,clearsky_gti_max,cloud_opacity_mean,cloud_opacity_std,cloud_opacity_min,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,cloud_opacity_max,dewpoint_temp_mean,dewpoint_temp_std,dewpoint_temp_min,dewpoint_temp_q1,dewpoint_temp_q2,dewpoint_temp_q3,dewpoint_temp_max,dhi_mean,dhi_std,dhi_min,dhi_q1,dhi_q2,dhi_q3,dhi_max,dni_mean,dni_std,dni_min,dni_q1,dni_q2,dni_q3,dni_max,ghi_mean,ghi_std,ghi_min,ghi_q1,ghi_q2,ghi_q3,ghi_max,gti_mean,gti_std,gti_min,gti_q1,gti_q2,gti_q3,gti_max,precipitable_water_mean,precipitable_water_std,precipitable_water_min,precipitable_water_q1,precipitable_water_q2,precipitable_water_q3,precipitable_water_max,precipitation_rate_mean,precipitation_rate_std,precipitation_rate_min,precipitation_rate_q1,precipitation_rate_q2,precipitation_rate_q3,precipitation_rate_max,relative_humidity_mean,relative_humidity_std,relative_humidity_min,relative_humidity_q1,relative_humidity_q2,relative_humidity_q3,relative_humidity_max,surface_pressure_mean,surface_pressure_std,surface_pressure_min,surface_pressure_q1,surface_pressure_q2,surface_pressure_q3,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_std,wind_direction_100m_min,wind_direction_100m_q1,wind_direction_100m_q2,wind_direction_100m_q3,wind_direction_100m_max,wind_direction_10m_mean,wind_direction_10m_std,wind_direction_10m_min,wind_direction_10m_q1,wind_direction_10m_q2,wind_direction_10m_q3,wind_direction_10m_max,wind_speed_100m_mean,wind_speed_100m_std,wind_speed_100m_min,wind_speed_100m_q1,wind_speed_100m_q2,wind_speed_100m_q3,wind_speed_100m_max,wind_speed_10m_mean,wind_speed_10m_std,wind_speed_10m_min,wind_speed_10m_q1,wind_speed_10m_q2,wind_speed_10m_q3,wind_speed_10m_max,building_id,day,month,year
0.8,48.575437,7.768668,27.3,7.7,33.3,8.17,143.0,210,1.72,218.0,94.6,0.434,6.25531914893617,0.440754546026174,6,6.0,6.0,6.5,7,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.574468085106383,114.71130960520568,-176,-105.5,9.0,106.0,177,17.829787234042552,27.431590127265103,0,0.0,0.0,39.0,72,180.1489361702128,276.4899541160665,0,0.0,0.0,441.0,691,61.340425531914896,101.56220552508366,0,0.0,0.0,101.0,288,129.06382978723406,207.16884567858287,0,0.0,0.0,250.5,566,42.61914893617021,26.16224161299001,0.0,21.55,53.8,61.400000000000006,80.2,4.663829787234042,0.8567952248666547,3.1,4.05,4.3,5.5,6.1,21.78723404255319,34.109756458547515,0,0.0,0.0,52.5,97,18.76595744680851,79.28572785815965,0,0.0,0.0,0.0,389,24.106382978723403,37.07174832118482,0,0.0,0.0,59.0,115,29.638297872340427,52.90369656350354,0,0.0,0.0,57.5,246,11.638297872340424,1.4703671815140726,9.1,10.4,11.1,13.15,14.0,0.0893617021276595,0.1289321401445627,0.0,0.0,0.1,0.1,0.5,90.04042553191489,3.9013743160733214,84.7,86.6,88.5,93.55,95.9,1031.9021276595745,1.1247201317007771,1030.8,1030.9,1031.5,1032.5,1034.5,256.3404255319149,20.421936836715883,227,239.0,257.0,261.0,312,245.7872340425532,25.69294960829658,206,227.5,249.0,254.5,310,5.036170212765957,1.5141973812975025,2.2,3.85,5.2,6.35,7.4,2.7702127659574467,0.9031141517758624,1.3,1.9,3.0,3.45,4.1,1,1,1,2019
16.9,48.575437,7.768668,27.3,7.7,33.3,8.17,143.0,210,1.72,218.0,94.6,0.434,3.375,1.5659270926752842,-1,3.0,4.0,4.25,5,0.1595833333333333,0.0028867513459481,0.14,0.16,0.16,0.16,0.16,0.5416666666666666,113.45014057797866,-176,-104.25,1.0,104.5,177,20.8125,32.728188286408994,0,0.0,0.0,41.0,88,158.02083333333334,249.1823641844811,0,0.0,0.0,380.75,638,59.520833333333336,99.97893173454166,0,0.0,0.0,90.0,287,120.47916666666669,197.7943257563736,0,0.0,0.0,219.0,550,4.558333333333334,10.599434616261243,0.0,0.0,0.0,1.0,43.3,-0.71875,1.3073696590987245,-3.0,-1.2,-0.7,-0.3,2.6,29.4375,49.89772785088367,0,0.0,0.0,47.0,160,85.85416666666667,166.08674862064066,0,0.0,0.0,64.25,583,49.0625,81.78446147220062,0,0.0,0.0,83.5,279,81.70833333333333,140.9319978364899,0,0.0,0.0,155.25,523,7.352083333333333,0.7539935050607266,6.0,6.875,7.4,7.825,9.0,0.0416666666666666,0.0577350269189625,0.0,0.0,0.0,0.1,0.2,75.19583333333334,4.301754136684505,67.1,72.975,75.0,77.85,84.0,1034.84375,1.78670101917361,1031.6,1033.55,1034.8000000000002,1036.15,1038.1,317.4375,12.855839388502764,294,306.0,317.5,326.0,339,308.5416666666667,17.05430417167884,252,299.75,312.0,319.0,331,6.245833333333334,1.3255201039966504,2.0,6.225,6.8,6.9,7.6,3.30625,0.9691861578203838,0.9,2.975,3.5,3.825,4.8,1,2,1,2019
1.4,48.575437,7.768668,27.3,7.7,33.3,8.17,143.0,210,1.72,218.0,94.6,0.434,-0.6666666666666666,1.848902300369616,-4,-2.0,0.0,1.0,2,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.6875,113.3043643879692,-176,-104.25,1.0,104.5,177,19.9375,30.971782799626403,0,0.0,0.0,43.25,81,161.02083333333334,255.1733236226948,0,0.0,0.0,341.75,664,59.91666666666666,100.83752116032436,0,0.0,0.0,87.75,289,121.58333333333331,200.36571173660508,0,0.0,0.0,204.5,558,22.277083333333334,26.56908489510169,0.0,0.0,8.1,51.05,70.2,-2.239583333333333,1.4496866254665997,-4.8,-3.625,-1.7,-0.975,-0.5,31.166666666666668,51.834570462534565,0,0.0,0.0,50.0,148,15.791666666666666,58.24451698542316,0,0.0,0.0,0.0,314,33.4375,54.14280025219362,0,0.0,0.0,59.5,150,38.0625,62.07901836592291,0,0.0,0.0,58.75,205,9.020833333333334,1.6660513048386634,6.5,7.25,9.7,10.325,11.6,0.0520833333333333,0.0874936674506882,0.0,0.0,0.0,0.1,0.3,89.16041666666666,4.039261549497415,80.6,87.1,89.7,92.0,95.2,1038.25625,0.503141725306841,1037.5,1037.8,1038.2,1038.6,1039.3,290.9791666666667,39.52348592566592,211,265.75,301.5,319.0,345,256.7916666666667,33.08914994332178,211,231.75,251.0,276.5,335,2.154166666666667,0.686327982302033,1.1,1.7,2.0,2.7,3.5,1.20625,0.3069453135851969,0.4,1.1,1.2,1.4,1.9,1,3,1,2019
6.6,48.575437,7.768668,27.3,7.7,33.3,8.17,143.0,210,1.72,218.0,94.6,0.434,1.0833333333333333,1.217484908960312,-1,0.0,1.0,2.0,3,0.1404166666666666,0.0028867513459481,0.14,0.14,0.14,0.14,0.16,0.8333333333333334,113.3265538230932,-176,-103.5,2.0,105.25,177,15.375,23.52420663640626,0,0.0,0.0,35.75,60,195.4375,302.4276179447649,0,0.0,0.0,462.75,762,63.16666666666666,105.63250896553868,0,0.0,0.0,96.75,302,134.9375,218.38599501604705,0,0.0,0.0,250.5,600,57.04791666666667,25.88641301042111,10.9,36.5,54.7,73.525,96.8,-0.5145833333333333,0.4327003696890933,-1.6,-0.8,-0.5,-0.2,0.3,34.9375,57.9605171004641,0,0.0,0.0,61.75,178,30.70833333333333,89.63138658412525,0,0.0,0.0,1.25,517,43.708333333333336,75.7245732434842,0,0.0,0.0,68.0,268,55.625,106.06413655816836,0,0.0,0.0,82.75,478,11.30625,0.7864291097618721,10.1,10.6,11.5,11.8,13.2,0.0291666666666666,0.0459339643185103,0.0,0.0,0.0,0.1,0.1,89.77291666666667,5.344782286963193,80.6,86.2,89.8,94.175,97.6,1037.075,1.0509367655130168,1035.6,1036.0749999999998,1037.3,1038.025,1038.6,227.04166666666663,120.53532338861154,2,254.5,271.0,295.75,359,257.0625,93.75395736328464,1,248.0,271.0,304.5,357,2.6375,1.1523565125059576,0.6,1.65,2.6500000000000004,3.6,4.6,1.2645833333333334,0.4918439396728475,0.4,0.8,1.2,1.725,2.1,1,4,1,2019
0.3,48.575437,7.768668,27.3,7.7,33.3,8.17,143.0,210,1.72,218.0,94.6,0.434,2.4791666666666665,1.2202124567944357,1,1.0,2.0,4.0,4,0.169375,0.0043301270189221,0.14,0.17,0.17,0.17,0.17,0.875,113.28924100575291,-175,-103.5,2.0,105.25,177,17.541666666666668,26.93803633189397,0,0.0,0.0,39.25,68,175.0,272.80005927496705,0,0.0,0.0,415.75,701,60.8125,101.58293043282,0,0.0,0.0,94.25,291,126.16666666666669,205.20963161557845,0,0.0,0.0,233.75,569,82.42291666666667,11.412222629909126,53.5,76.5,82.2,91.4,96.4,1.375,1.231760545947625,-0.1,0.1,1.15,2.7,3.0,13.416666666666666,22.45357701052052,0,0.0,0.0,31.0,87,0.0,0.0,0,0.0,0.0,0.0,0,13.416666666666666,22.45357701052052,0,0.0,0.0,31.0,87,12.958333333333334,21.64801433902646,0,0.0,0.0,30.0,84,15.9125,2.155312585316925,13.2,14.2,15.0,17.95,20.5,0.3354166666666667,0.2383360610864087,0.0,0.2,0.3,0.5,0.8,93.13958333333332,2.902657592498771,89.3,90.6,92.55,95.825,98.4,1032.7229166666666,1.14710358346827,1031.7,1031.9,1032.3,1032.75,1035.6,259.7708333333333,15.091549817249549,236,249.0,255.0,274.0,287,248.8333333333333,14.184698578357802,231,238.75,243.0,261.0,277,5.2125,0.8096821020517737,3.7,4.475,5.5,5.8,6.2,2.6645833333333333,0.5277368716261533,1.6,2.275,2.85,3.1,3.4,1,5,1,2019
0.7,48.575437,7.768668,27.3,7.7,33.3,8.17,143.0,210,1.72,218.0,94.6,0.434,3.75,0.4375949744936837,3,3.75,4.0,4.0,4,0.199375,0.0043301270189221,0.17,0.2,0.2,0.2,0.2,1.0,113.21322379719248,-175,-103.25,2.0,105.25,177,16.5,25.25360728393201,0,0.0,0.0,37.0,65,187.04166666666663,288.7776851116438,0,0.0,0.0,456.0,734,62.75,104.5851989039904,0,0.0,0.0,98.5,299,131.64583333333334,212.7532273009045,0,0.0,0.0,249.5,588,74.675,11.870031995511562,47.4,67.55,71.8,81.19999999999999,95.9,2.4791666666666665,0.1270924162548794,2.2,2.4,2.5,2.525,2.7,21.0,34.29471766284814,0,0.0,0.0,43.25,98,0.0,0.0,0,0.0,0.0,0.0,0,21.0,34.29471766284814,0,0.0,0.0,43.25,98,20.3125,33.064833958162424,0,0.0,0.0,42.25,94,14.252083333333331,0.6056435238770294,13.2,13.8,14.2,14.7,15.4,0.2979166666666666,0.1421560175769331,0.1,0.2,0.3,0.4,0.5,92.79375,0.7869700175423635,91.2,92.0,93.2,93.3,93.8,1033.3645833333333,1.1225900112390066,1031.8,1032.1,1033.55,1034.325,1035.0,276.6666666666667,11.350008591867278,235,271.75,279.0,284.0,290,263.6041666666667,14.330060033627786,224,258.5,266.5,274.0,279,3.9375,1.0515692427702634,2.5,3.0,4.0,4.925000000000001,5.8,1.99375,0.6560378329775446,1.1,1.2,2.25,2.5,3.0,1,6,1,2019
1.2,48.575437,7.768668,27.3,7.7,33.3,8.17,143.0,210,1.72,218.0,94.6,0.434,3.333333333333333,0.4763930673403308,3,3.0,3.0,4.0,4,0.2,0.0,0.2,0.2,0.2,0.2,0.2,1.1041666666666667,113.11474866368324,-175,-103.25,2.0,104.5,177,16.541666666666668,25.232500431272843,0,0.0,0.0,37.5,65,192.9583333333333,297.486274193169,0,0.0,0.0,473.0,753,64.64583333333333,107.56660273905976,0,0.0,0.0,102.5,307,135.60416666666666,218.7821941861536,0,0.0,0.0,258.5,602,58.41666666666666,21.670455751604987,3.9,51.4,57.8,68.55,95.9,1.8145833333333328,0.5816299852279901,0.9,1.175,2.1,2.3,2.6,24.27083333333333,38.38535823657706,0,0.0,0.0,53.75,112,1.0833333333333333,4.932882862316247,0,0.0,0.0,0.0,28,24.4375,38.51935476470707,0,0.0,0.0,54.0,112,23.979166666666668,37.53324176764715,0,0.0,0.0,52.0,108,13.120833333333332,3.0466555317393555,9.7,10.475,12.85,13.7,19.7,0.0625,0.0890254565553786,0.0,0.0,0.0,0.1,0.3,89.50416666666666,3.671799276795769,82.2,86.52499999999999,89.5,93.0,93.8,1033.525,1.6118576569855687,1028.9,1032.85,1034.3,1034.8,1034.9,254.375,26.890340747783632,213,230.25,260.0,274.75,300,240.5833333333333,27.44342988716299,205,210.0,239.5,257.25,299,3.2854166666666664,1.7340138632704714,1.7,2.1750000000000003,2.6,3.75,7.7,1.7770833333333331,0.9032422882071418,1.0,1.1,1.4,2.0,4.2,1,7,1,2019
9.5,48.575437,7.768668,27.3,7.7,33.3,8.17,143.0,210,1.72,218.0,94.6,0.434,4.833333333333333,1.0175760378997736,3,4.0,5.0,6.0,6,0.1902083333333333,0.001443375672974,0.19,0.19,0.19,0.19,0.2,1.1875,113.12874538292596,-175,-103.25,2.5,104.5,178,17.625,26.836482789490844,0,0.0,0.0,41.0,68,185.3125,287.3456778234706,0,0.0,0.0,427.75,732,64.27083333333333,106.99030371324534,0,0.0,0.0,101.0,306,132.89583333333334,215.2376459581099,0,0.0,0.0,244.25,595,68.14375,26.04381664883812,7.5,53.8,69.25,95.5,96.5,2.658333333333333,0.7615307465980506,1.3,2.275,2.5,3.225,4.1,26.979166666666668,47.12748196899118,0,0.0,0.0,35.5,166,46.04166666666666,134.55647526396115,0,0.0,0.0,0.0,541,41.16666666666666,80.54424800396876,0,0.0,0.0,35.5,267,59.75,132.50748674151657,0,0.0,0.0,34.5,489,12.854166666666666,2.815077817852888,9.3,11.1,11.65,14.55,19.3,0.3208333333333333,0.1878867170390613,0.1,0.2,0.3,0.5,0.7,85.91458333333333,4.505976626061208,78.6,81.975,85.9,90.3,93.5,1021.1875,2.557061561595209,1018.4,1019.3,1020.55,1021.8,1028.3,251.6875,23.69680492871954,214,232.5,250.0,273.25,285,246.375,23.63609302776204,207,227.5,244.0,268.25,276,8.547916666666667,0.8134480284784397,6.9,7.875,8.649999999999999,9.125,9.7,4.891666666666667,0.5262607287361738,3.9,4.5,4.95,5.3,5.7,1,8,1,2019
5.3,48.575437,7.768668,27.3,7.7,33.3,8.17,143.0,210,1.72,218.0,94.6,0.434,2.708333333333333,1.030561370122446,1,2.0,3.0,3.0,4,0.219375,0.0043301270189221,0.19,0.22,0.22,0.22,0.22,1.2708333333333333,113.07157205859228,-175,-103.25,2.5,104.5,178,18.979166666666668,28.8875218466333,0,0.0,0.0,42.5,74,175.41666666666666,277.5335006294397,0,0.0,0.0,399.5,731,64.16666666666667,107.24208711241566,0,0.0,0.0,101.5,309,129.66666666666666,212.7087043536334,0,0.0,0.0,241.0,597,66.27083333333333,21.955825653840577,8.2,54.45,68.4,84.0,95.8,0.0166666666666666,0.7532435771547094,-1.2,-0.6,0.0,0.6,1.5,27.729166666666668,47.62251370997481,0,0.0,0.0,52.5,173,23.5625,72.76979331528251,0,0.0,0.0,0.0,385,32.75,57.09994969629263,0,0.0,0.0,55.0,222,41.020833333333336,76.67324690385912,0,0.0,0.0,53.0,288,9.391666666666667,0.5667500981551443,8.6,8.9,9.2,10.0,10.5,0.1583333333333333,0.1234837112754334,0.0,0.1,0.1,0.2,0.6,82.65833333333333,5.104767622749291,72.5,78.45,84.6,86.625,90.2,1017.16875,1.2549741457029622,1015.5,1016.175,1016.8,1017.925,1019.9,308.7916666666667,52.84660996125637,0,292.75,309.0,344.0,360,310.6875,26.05653121865872,267,289.75,306.0,339.25,345,6.620833333333334,1.4352638327163216,3.7,5.475,6.6,8.2,8.4,3.6916666666666655,0.8700289389496932,1.6,3.3,3.9,4.4,4.7,1,9,1,2019
0.5,48.575437,7.768668,27.3,7.7,33.3,8.17,143.0,210,1.72,218.0,94.6,0.434,1.0,1.0105823052798224,-2,1.0,1.0,2.0,2,0.2297916666666667,0.001443375672974,0.22,0.23,0.23,0.23,0.23,1.3958333333333333,112.95993256570326,-175,-102.5,3.0,104.5,178,20.916666666666668,32.2278017505656,0,0.0,0.0,45.5,84,169.5,262.68580050553555,0,0.0,0.0,402.75,674,64.3125,106.81564078832874,0,0.0,0.0,103.75,306,128.25,207.8821781683077,0,0.0,0.0,239.25,578,45.225,34.13226775541965,0.0,0.0,61.35,74.625,88.2,-1.4333333333333331,0.8933163965791533,-3.2,-2.125,-1.0,-0.775,-0.4,17.270833333333332,28.20648754659665,0,0.0,0.0,35.25,110,0.0,0.0,0,0.0,0.0,0.0,0,17.270833333333332,28.20648754659665,0,0.0,0.0,35.25,110,16.708333333333332,27.31141008017301,0,0.0,0.0,34.25,106,7.633333333333333,1.3107304011112149,5.7,6.375,7.800000000000001,8.9,9.2,0.0354166666666666,0.0483321105250062,0.0,0.0,0.0,0.1,0.1,84.49583333333334,4.9056614420888565,75.3,79.7,87.4,88.625,89.9,1024.0083333333334,1.986104209017706,1020.0,1022.325,1024.4,1025.525,1026.9,156.625,168.31336339658932,2,11.5,25.0,352.25,357,178.20833333333334,169.14075195419704,5,9.0,176.5,346.0,359,4.45625,0.7088817234717928,2.3,4.074999999999999,4.6,4.9,5.5,2.4604166666666667,0.5409761009915055,1.6,2.0,2.5,2.825,3.4,1,10,1,2019
